name,path,split,family,N,c,click_density,replicate,instance_seed,target_sha256,guaranteed_solvable,witness_total_clicks,known_upper_bound
pilot_n04_c03_uniform_r000,pilot/uniform/n04_c03/pilot_n04_c03_uniform_r000.json,pilot,uniform,4,3,,0,5319079097021464635,ae557f02b6b7d11fbcce7ceb166e7c2294e18be0c4520b55d452fcd66b49bf63,False,,
evaluation_n03_c02_witness_d150_r000,evaluation/witness/n03_c02/evaluation_n03_c02_witness_d150_r000.json,evaluation,witness,3,2,0.15,0,9214912782249980051,ffcb2b6c2d6e2f820991aa5ee1c3f18725a0a3dcdf13bf1b6e13d19af1ddaf16,True,1,1
evaluation_n03_c02_witness_d150_r001,evaluation/witness/n03_c02/evaluation_n03_c02_witness_d150_r001.json,evaluation,witness,3,2,0.15,1,15309943047408299764,ebc01ebfd5fe471dd4f2c1d31d6d59debe428104a2526b4b887cf29445dbae25,True,1,1
evaluation_n03_c02_witness_d400_r000,evaluation/witness/n03_c02/evaluation_n03_c02_witness_d400_r000.json,evaluation,witness,3,2,0.4,0,6952818111557639042,3226aa9557edafa4831409e2ea66e8c71f3e4bca3d4d909b6651625672bc803d,True,4,4
evaluation_n03_c02_witness_d400_r001,evaluation/witness/n03_c02/evaluation_n03_c02_witness_d400_r001.json,evaluation,witness,3,2,0.4,1,14992262631244565669,def78d93ba6afea3700b8960d918002891c4ad1211a15943596d9c97f7383ae2,True,4,4
evaluation_n03_c02_uniform_r000,evaluation/uniform/n03_c02/evaluation_n03_c02_uniform_r000.json,evaluation,uniform,3,2,,0,17079198271579256851,c1a64be9540fd7b231d9c30f3fce46e89764acc07ea5a4abad699ba8e8ac5f26,False,,
evaluation_n03_c02_uniform_r001,evaluation/uniform/n03_c02/evaluation_n03_c02_uniform_r001.json,evaluation,uniform,3,2,,1,17231037715708500494,a4002b09602e727f09d83db5efff7fabac43b8079a9d65a279c7af3a57eed7db,False,,
evaluation_n03_c03_witness_d150_r000,evaluation/witness/n03_c03/evaluation_n03_c03_witness_d150_r000.json,evaluation,witness,3,3,0.15,0,10296028249578781977,a8151138bbac1f0a34aa0853ae6efc3c014a8be06505a0af1a90742c5af92b1d,True,1,1
evaluation_n03_c03_witness_d150_r001,evaluation/witness/n03_c03/evaluation_n03_c03_witness_d150_r001.json,evaluation,witness,3,3,0.15,1,11366868394269329144,a5b32c673f2b1e36902880e31551835a374e56a98e5e64f4a7b8eeac7a30a069,True,2,2
evaluation_n03_c03_witness_d400_r000,evaluation/witness/n03_c03/evaluation_n03_c03_witness_d400_r000.json,evaluation,witness,3,3,0.4,0,8984294870071281956,39b4fd6e269b4f7199ccb6b2f96fbf851fa8c2c7e162235d78a8255c1bf8e535,True,5,5
evaluation_n03_c03_witness_d400_r001,evaluation/witness/n03_c03/evaluation_n03_c03_witness_d400_r001.json,evaluation,witness,3,3,0.4,1,3104793789896093829,16067897547ad1e24629f89933f12da711cbc1e48209e3c7263404c97e140b20,True,5,5
evaluation_n03_c03_uniform_r000,evaluation/uniform/n03_c03/evaluation_n03_c03_uniform_r000.json,evaluation,uniform,3,3,,0,14438351979501714574,6005d1a45c60cc6e77c912ea154ca392dfd209f00e9df0ce2406a3dc1ef454e7,False,,
evaluation_n03_c03_uniform_r001,evaluation/uniform/n03_c03/evaluation_n03_c03_uniform_r001.json,evaluation,uniform,3,3,,1,11948883046907246777,68882147ed82228ef08d19d39b0749e209af61dcd168a7faff093fbd5f7c7e62,False,,
evaluation_n04_c02_witness_d150_r000,evaluation/witness/n04_c02/evaluation_n04_c02_witness_d150_r000.json,evaluation,witness,4,2,0.15,0,13946486799712462976,65879e6c5e66bd85760eeff9e42e40fd74da8169b8774e29b5432ca6eef59e0f,True,2,2
evaluation_n04_c02_witness_d150_r001,evaluation/witness/n04_c02/evaluation_n04_c02_witness_d150_r001.json,evaluation,witness,4,2,0.15,1,2309013310023303522,e443ec77a07705b2951675ef8aa5a7d6631fc8da21b8bc42ef32a09c5911a10f,True,2,2
evaluation_n04_c02_witness_d400_r000,evaluation/witness/n04_c02/evaluation_n04_c02_witness_d400_r000.json,evaluation,witness,4,2,0.4,0,16218397518861574087,7b6f8eb5b30f7976d5b2cce3efa3657a738d28fcfdf6a5a00aca5e0b880cb292,True,6,6
evaluation_n04_c02_witness_d400_r001,evaluation/witness/n04_c02/evaluation_n04_c02_witness_d400_r001.json,evaluation,witness,4,2,0.4,1,2095836772445251953,3d72f10c2e13cc9dbddf0b382b1fe39cfe6cf2c539938eea73b552127b8037d7,True,6,6
evaluation_n04_c02_uniform_r000,evaluation/uniform/n04_c02/evaluation_n04_c02_uniform_r000.json,evaluation,uniform,4,2,,0,12343906337362273292,f137e54242641edbe69a29553f12cd1ea2485df97e0dd36ef757492f19768666,False,,
evaluation_n04_c02_uniform_r001,evaluation/uniform/n04_c02/evaluation_n04_c02_uniform_r001.json,evaluation,uniform,4,2,,1,3928830071524361899,eb3cbd94010d3c698318a654ce2eb69136cbcf5e2601c19f90cc25ab9d623d13,False,,
evaluation_n04_c03_witness_d150_r000,evaluation/witness/n04_c03/evaluation_n04_c03_witness_d150_r000.json,evaluation,witness,4,3,0.15,0,13377480648323716222,cf555fd6a7ba1689542a02d2da412e9a7c10db71f6573b4fce960cd9cbdeb6ed,True,4,4
evaluation_n04_c03_witness_d150_r001,evaluation/witness/n04_c03/evaluation_n04_c03_witness_d150_r001.json,evaluation,witness,4,3,0.15,1,13796712764244587930,58c4555d831a0eb3e2e1f84a6d1772d10342a584d8c45ec8bb2e1709a786ef5f,True,3,3
evaluation_n04_c03_witness_d400_r000,evaluation/witness/n04_c03/evaluation_n04_c03_witness_d400_r000.json,evaluation,witness,4,3,0.4,0,11694944134036455746,125b4c150bfab174de8242ea7ddfecc7b13bb98743b10845beeea2852d16f290,True,7,7
evaluation_n04_c03_witness_d400_r001,evaluation/witness/n04_c03/evaluation_n04_c03_witness_d400_r001.json,evaluation,witness,4,3,0.4,1,4977313341146150788,d6e379286ecda51a8e432214fe8a46e466abd5dff49dda26eed6934b28919ca8,True,8,8
evaluation_n04_c03_uniform_r000,evaluation/uniform/n04_c03/evaluation_n04_c03_uniform_r000.json,evaluation,uniform,4,3,,0,11206616289907746550,e417173965691729276d2ecb0bf1338608cf1897d981362af977d062951657c3,False,,
evaluation_n04_c03_uniform_r001,evaluation/uniform/n04_c03/evaluation_n04_c03_uniform_r001.json,evaluation,uniform,4,3,,1,8422784683119347624,2d6c2e023dfbc1a07ff3baee8e07a3c1fae3bc722d9752562545d2e7f26a49bb,False,,
